value,variants
Dheepan,Dheepan
October 1917: Ten Days That Shook The World,October 1917: Ten Days That Shook The World
Walesa: Man of Hope,Walesa: Man of Hope
Taste Of Cherry,Taste Of Cherry
To Kill a Mockingbird,To Kill a Mockingbird
Lavender,Lavender
Son of Saul,Son of Saul
The Look of Silence,The Look of Silence
The Tourist (Swedish),The Tourist (Swedish)
Chaar Sahibzaade - Rise Of Banda Singh Bahadur,Chaar Sahibzaade - Rise Of Banda Singh Bahadur
Kung Fu Yoga,Kung Fu Yoga
Kattappanayile Rithwik Roshan,Kattappanayile Rithwik Roshan
Chaar Sahibzaade - Rise Of Banda Singh Bahadur ,Chaar Sahibzaade - Rise Of Banda Singh Bahadur 
Iddaru Iddare,Iddaru Iddare
Kaik Karne Yaar,Kaik Karne Yaar
Leke Ishq Main Risk Sanam,Leke Ishq Main Risk Sanam
Chaar Sahibzaade (2D Punjabi),Chaar Sahibzaade (2D Punjabi)
Motor Mitraan Di,Motor Mitraan Di
Chocolate ,Chocolate 
Hardik AbhiNandan,Hardik AbhiNandan
Chaar Sahibzaade (3D Punjabi),Chaar Sahibzaade (3D Punjabi)
Pokiri Raja,Pokiri Raja
Aamey Atadaitey,Aamey Atadaitey
Tower House,Tower House
Aatadukundam Raa,Aatadukundam Raa
Badmaash,Badmaash
Howl (Telugu) ,Howl (Telugu) 
Best F(R)Iends,Best F(R)Iends
Janis,Janis
Fugay,Fugay
Sniff,Sniff
Train To Busan (Telugu) ,Train To Busan (Telugu) 
Sarbagunakar Srimanta Sankardeva,Sarbagunakar Srimanta Sankardeva
A Star Is Born,A Star Is Born
Sathuranga Vettai 2,Sathuranga Vettai 2
100 Streets,100 Streets
Kanamachhi Bho Bho,Kanamachhi Bho Bho
Kaalagandi,Kaalagandi
Sarrainodu,Sarrainodu
Nenu Local,Nenu Local
Assassin`s Creed,Assassin`s Creed
The Space Between Us,The Space Between Us
Assassin`s Creed ,Assassin`s Creed 
Ekkadiki Pothavu Chinnavaada,Ekkadiki Pothavu Chinnavaada
Sarvann,Sarvann
Fantastic Beasts And Where To Find Them (3D Tamil),Fantastic Beasts And Where To Find Them (3D Tamil)
Thammar Boyfriend,Thammar Boyfriend
Romantic Noy,Romantic Noy
Nil Battey Sannata,Nil Battey Sannata
Ghatana,Ghatana
Rajakumara,Rajakumara
Tagaru,Tagaru
My Story,My Story
Fantastic Beasts And Where To Find Them,Fantastic Beasts And Where To Find Them
Fantastic Beasts And Where To Find Them ,Fantastic Beasts And Where To Find Them 
The Nanny,The Nanny
Brother Orange,Brother Orange
Fantastic Beasts And Where To Find Them,Fantastic Beasts And Where To Find Them
Anjukku Onnu,Anjukku Onnu
Nene Raju Nene Mantri,Nene Raju Nene Mantri
Naanna Nenu Naa Boy Friends,Naanna Nenu Naa Boy Friends
Fantastic Beasts And Where To Find Them (Telugu),Fantastic Beasts And Where To Find Them (Telugu)
Kanchana ,Kanchana 
Fantastic Beasts And Where To Find Them (3D Telugu),Fantastic Beasts And Where To Find Them (3D Telugu)
Kaul - A Calling,Kaul - A Calling
Gunda,Gunda
Fantastic Beasts And Where To Find Them,Fantastic Beasts And Where To Find Them
Oodi Oodi Uzhaikanum,Oodi Oodi Uzhaikanum
Kumari Mallika ,Kumari Mallika 
Doodh Ka Karz ,Doodh Ka Karz 
Panoda Bodcha,Panoda Bodcha
Main Hoon Lucky The Racer,Main Hoon Lucky The Racer
Temper ,Temper 
Lion of the Sea,Lion of the Sea
Charuseela,Charuseela
Don`t Breathe (Telugu) ,Don`t Breathe (Telugu) 
Dark World (2016),Dark World (2016)
Tu Bold Mee Cold,Tu Bold Mee Cold
Vinash,Vinash
Teenanko ,Teenanko 
Grand Hali,Grand Hali
Carry On Kesar,Carry On Kesar
Sajan Chale Sasural 2,Sajan Chale Sasural 2
Dulhan Chahi Pakistan Se,Dulhan Chahi Pakistan Se
Jayamu Nichamu Ra,Jayamu Nichamu Ra
Mareyadiru Endendu,Mareyadiru Endendu
Tiny Forest Adventure & Need for Speed,Tiny Forest Adventure & Need for Speed
Roller Coaster & Joy Ride,Roller Coaster & Joy Ride
Love Hai Yaar Accept It,Love Hai Yaar Accept It
Death Race 2,Death Race 2
Yevanda ,Yevanda 
Mechanic: Resurrection ,Mechanic: Resurrection 
Fantastic Beasts And Where To Find Them ,Fantastic Beasts And Where To Find Them 
Pellichoopulu,Pellichoopulu
Full Guarantee,Full Guarantee
Prem Sankat,Prem Sankat
Bahi Tor Surta Ma,Bahi Tor Surta Ma
Kai,Kai
Thikka,Thikka
Taragele ,Taragele 
Prarthana,Prarthana
Haseena Maan Jayegi ,Haseena Maan Jayegi 
Mokama 0 KM ,Mokama 0 KM 
Prashasan ,Prashasan 
Midnight`s Children ,Midnight`s Children 
LAbyrinth,LAbyrinth
Kolaiyuthir Kaalam,Kolaiyuthir Kaalam
Zindagi,Zindagi
Posto,Posto
Dharmadurai,Dharmadurai
Mary Kom,Mary Kom
Naan Maya,Naan Maya
Rum,Rum
Remo (Telugu),Remo (Telugu)
Enemy (Konkani),Enemy (Konkani)
Arrival,Arrival
Detour,Detour
Railroad Tigers,Railroad Tigers
Kaatru Veliyidai,Kaatru Veliyidai
Kannula Kaasa Kattappa,Kannula Kaasa Kattappa
Adhiradi Arjun Adaavadi Azhagi Nayanthara,Adhiradi Arjun Adaavadi Azhagi Nayanthara
Aarambame Attagasam,Aarambame Attagasam
Gunaaji (Konkani),Gunaaji (Konkani)
Home Sweet Home (Konkani),Home Sweet Home (Konkani)
Mortoo: Death is Not so Serious,Mortoo: Death is Not so Serious
Suring,Suring
Ek Kahani Julie Ki ,Ek Kahani Julie Ki 
Bhoomi,Bhoomi
Deadpool 2,Deadpool 2
Virumandikkum Sivanaandikkkum,Virumandikkum Sivanaandikkkum
Mummy,Mummy
Nerve,Nerve
Pattathari,Pattathari
Ilami,Ilami
Home Sweet Home 2,Home Sweet Home 2
Nachomia Kumpasar,Nachomia Kumpasar
Jayantabhai Ki Luv Story,Jayantabhai Ki Luv Story
Rangam 2,Rangam 2
Soggadu,Soggadu
Hangover (Kannada),Hangover (Kannada)
Happy New Year (Kannada),Happy New Year (Kannada)
Madha Matthu Manasi,Madha Matthu Manasi
10 Kalpanakal,10 Kalpanakal
Antarleen,Antarleen
Game,Game
X: Night of Vengeance ,X: Night of Vengeance 
Ek Yodha Shoorveer,Ek Yodha Shoorveer
The Red Rose ,The Red Rose 
Black Swan ,Black Swan 
The Boy,The Boy
Alien: Covenant,Alien: Covenant
Punnami Ratri (Telugu) ,Punnami Ratri (Telugu) 
Titanic (Telugu),Titanic (Telugu)
Tholi Premalo,Tholi Premalo
Nee illade,Nee illade
Mandyadha Hudugru,Mandyadha Hudugru
Kacche Dhaagey,Kacche Dhaagey
The Journey Of Punjab 2016,The Journey Of Punjab 2016
Banchha Elo Phire,Banchha Elo Phire
Aguner Pakhi,Aguner Pakhi
The Godfather  Part III (1990) ,The Godfather  Part III (1990) 
Kill Ratio,Kill Ratio
Manje Bistre,Manje Bistre
Ek Ziddi,Ek Ziddi
Avasaraniko Abaddam,Avasaraniko Abaddam
Chaar Sahibzaade (2D Hindi),Chaar Sahibzaade (2D Hindi)
Private Teacher ,Private Teacher 
Tutak Tutak Tutiya,Tutak Tutak Tutiya
Garam Reth,Garam Reth
Train To Busan  ,Train To Busan  
Tharkappu,Tharkappu
Dandupalyam Alajadi,Dandupalyam Alajadi
Rajugaarintlo 7 Va Roju,Rajugaarintlo 7 Va Roju
Osey Mallamma,Osey Mallamma
Apsssarey,Apsssarey
Sivapuram,Sivapuram
Haripada Bandwala,Haripada Bandwala
Aashiq Awara,Aashiq Awara
Bhaigiri,Bhaigiri
Abhishaap Kamasutra Ka,Abhishaap Kamasutra Ka
Asian School Girls ,Asian School Girls 
Selfie Raja,Selfie Raja
Srirastu Subhamastu,Srirastu Subhamastu
Akathayi,Akathayi
Duniya Jale To Jale,Duniya Jale To Jale
Gharwali Baharwali,Gharwali Baharwali
Desh Pardesh (Bhojpuri) ,Desh Pardesh (Bhojpuri) 
Haunted Resort,Haunted Resort
Jil Ka Tufan,Jil Ka Tufan
Mechanic: Resurrection ,Mechanic: Resurrection 
Ok(Telugu),Ok(Telugu)
Baar Baar Dekho,Baar Baar Dekho
The Last Tale Of Kayenaat,The Last Tale Of Kayenaat
