value,variants
Thiruvananthapuram,Thiruvananthapuram
Sitapur,Sitapur
Sidhi,Sidhi
Rupnagar,Rupnagar
Achhnera,Achhnera
Kanpur,Kanpur
Vyara,Vyara
Raghogarh Vijaypur,Raghogarh Vijaypur
Sandi,Sandi
Piriyapatna,Piriyapatna
Ujjain,Ujjain
Mahbubnagar,Mahbubnagar
Achalpur,Achalpur
Nongstoin,Nongstoin
Vita,Vita
Naugawan Sadat,Naugawan Sadat
Sasaram,Sasaram
Ghaziabad,Ghaziabad
Mokokchung,Mokokchung
Sonipat,Sonipat
Loni,Loni
Jind,Jind
Sohna,Sohna
Motipur,Motipur
Nawabganj,Nawabganj
Tarikere,Tarikere
Fatehpur Sikri,Fatehpur Sikri
Sujangarh,Sujangarh
Karjat,Karjat
Powayan,Powayan
Giridih,Giridih
Madhepura,Madhepura
Amritsar,Amritsar
Sanduru,Sanduru
Wanaparthy,Wanaparthy
Cherthala,Cherthala
Hardwar,Hardwar
Umred,Umred
Simdega,Simdega
Bahraich,Bahraich
Kandukur,Kandukur
Yadgir,Yadgir
Lucknow,Lucknow
Muzaffarpur,Muzaffarpur
Rajapalayam,Rajapalayam
Rajura,Rajura
Kayamkulam,Kayamkulam
Ranibennur,Ranibennur
Wani,Wani
Nepanagar,Nepanagar
Nagapattinam,Nagapattinam
Afzalpur,Afzalpur
Meerut,Meerut
Palampur,Palampur
Attingal,Attingal
Batala,Batala
Rajaldesar,Rajaldesar
Ladnu,Ladnu
Pithoragarh,Pithoragarh
Malpura,Malpura
Palladam,Palladam
Padra,Padra
Mangrulpir,Mangrulpir
Partur,Partur
Nahan,Nahan
Ladwa,Ladwa
Amalapuram,Amalapuram
Pilibhit,Pilibhit
Najibabad,Najibabad
Maihar,Maihar
Unjha,Unjha
Patti,Patti
Sikanderpur,Sikanderpur
Tirwaganj,Tirwaganj
Chalakudy,Chalakudy
Shahdol,Shahdol
Siliguri,Siliguri
Shamli,Shamli
Sardarshahar,Sardarshahar
Pandharpur,Pandharpur
Kathua,Kathua
Savner,Savner
Modinagar,Modinagar
Thiruthuraipoondi,Thiruthuraipoondi
Gokak,Gokak
Ichalkaranji,Ichalkaranji
lucknow,lucknow
Baripada Town,Baripada Town
Patratu,Patratu
Dharmavaram,Dharmavaram
Mhowgaon,Mhowgaon
Pali,Pali
Ottappalam,Ottappalam
Anand,Anand
Chittur Thathamangalam,Chittur Thathamangalam
Tindivanam,Tindivanam
Thirumangalam,Thirumangalam
Nuzvid,Nuzvid
Takhatgarh,Takhatgarh
Washim,Washim
Sarsod,Sarsod
Lahar,Lahar
Sanawad,Sanawad
Nandura,Nandura
Peddapuram,Peddapuram
Lakhisarai,Lakhisarai
Rau,Rau
Narasapuram,Narasapuram
Pallapatti,Pallapatti
Ranavav,Ranavav
Siruguppa,Siruguppa
Rudauli,Rudauli
Tirora,Tirora
Dibrugarh,Dibrugarh
Tulsipur,Tulsipur
Tohana,Tohana
Bhawanipatna,Bhawanipatna
Alipurduar,Alipurduar
Pukhrayan,Pukhrayan
Diphu,Diphu
Sibsagar,Sibsagar
Peravurani,Peravurani
Akot,Akot
Jhumri Tilaiya,Jhumri Tilaiya
Mankachar,Mankachar
Namakkal,Namakkal
Nakodar,Nakodar
Salur,Salur
Niwai,Niwai
Nirmal,Nirmal
Tirur,Tirur
Gohana,Gohana
Sahjanwa,Sahjanwa
Maner,Maner
Nellikuppam,Nellikuppam
New Delhi,New Delhi
Ankleshwar,Ankleshwar
Sankari,Sankari
Paramakudi,Paramakudi
Pauri,Pauri
Mainaguri,Mainaguri
Chittoor,Chittoor
Bankura,Bankura
Adoor,Adoor
Rewari,Rewari
Memari,Memari
Imphal,Imphal
ahmedabad,ahmedabad
Mudalagi,Mudalagi
Titlagarh,Titlagarh
Bapatla,Bapatla
Mahesana,Mahesana
Panchkula,Panchkula
Tura,Tura
Dehradun,Dehradun
Kozhikode,Kozhikode
