value,variants
Mysore Dosa,Mysore Dosa
Boiled Eggs,Boiled Eggs
Masals Omlette,Masals Omlette
Cheese Masala Omlette,Cheese Masala Omlette
Spring Onion Omlette,Spring Onion Omlette
Egg Bhurji,Egg Bhurji
Garlic Bhurji,Garlic Bhurji
Tomato Bhurji,Tomato Bhurji
French Toast,French Toast
Omlette Pav,Omlette Pav
Paneer Bhurji,Paneer Bhurji
Puri Bhaji,Puri Bhaji
Kanda Poha,Kanda Poha
Poha,Poha
Upma,Upma
Pakoda,Pakoda
Kanda Bhajiya,Kanda Bhajiya
Bhajiya,Bhajiya
Paneer Pakoda,Paneer Pakoda
Cheese Pakoda,Cheese Pakoda
Bread Pakoda,Bread Pakoda
Usal,Usal
Corn ,Corn 
Thepla,Thepla
Aloo Bhaji,Aloo Bhaji
Sindi Koki,Sindi Koki
Sabudana Khichdi,Sabudana Khichdi
Sabudana Wada,Sabudana Wada
Tomato Omlette,Tomato Omlette
Vada Pav,Vada Pav
Grilled Vada Pav,Grilled Vada Pav
Samosa Pav,Samosa Pav
Veg Samosa,Veg Samosa
Samosa  ,Samosa  
Vada  ,Vada  
Cheese Pav Bhaji,Cheese Pav Bhaji
Jain Pav Bhaji,Jain Pav Bhaji
Masala Pav,Masala Pav
Single Pav,Single Pav
Garlic Pav,Garlic Pav
Pav Sandwich,Pav Sandwich
Sandwich,Sandwich
Bhaji Pulav,Bhaji Pulav
Vegetable Sandwich,Vegetable Sandwich
Vegetable Toast Sandwich,Vegetable Toast Sandwich
Vegetable Grilled Sandwich,Vegetable Grilled Sandwich
Vegetable Grilled Cheese Sandwich,Vegetable Grilled Cheese Sandwich
Masala Toast Sandwich,Masala Toast Sandwich
Shezuan Masala Toast,Shezuan Masala Toast
Cheese Sandwich,Cheese Sandwich
Chilly Cheese Toast,Chilly Cheese Toast
Chutney Cheese Toast,Chutney Cheese Toast
Tomato Omlette Sandwich,Tomato Omlette Sandwich
Samosa Sandwich,Samosa Sandwich
Paneer Bhurji Sandwich,Paneer Bhurji Sandwich
Paneer Mayo Sandwich,Paneer Mayo Sandwich
Veg Mayo Sandwich,Veg Mayo Sandwich
Egg Mayo Sandwich,Egg Mayo Sandwich
Egg Bhurji Sandwich,Egg Bhurji Sandwich
Omlette Sandwich,Omlette Sandwich
Sprouts and Corn,Sprouts and Corn
Garlic Bread,Garlic Bread
Garlic Bread with cheese,Garlic Bread with cheese
Cheese Garlic Bread,Cheese Garlic Bread
Bread Butter,Bread Butter
Bread Butter Jam,Bread Butter Jam
Jam Toast,Jam Toast
Chutney Sandwich,Chutney Sandwich
Garlic Chutney Sandwich,Garlic Chutney Sandwich
Thali ,Thali 
Mini Thali,Mini Thali
Special Thali,Special Thali
Vegetable  ,Vegetable  
Tomato Soup,Tomato Soup
Palak Corn Soup,Palak Corn Soup
Manchow Soup,Manchow Soup
Hot and Sour Soup,Hot and Sour Soup
Lemon and Coriander Soup,Lemon and Coriander Soup
Veg Clear Soup,Veg Clear Soup
Veg Pepper Soup,Veg Pepper Soup
Veg Noodle Soup,Veg Noodle Soup
Green Salad,Green Salad
Corn Sprout Sald,Corn Sprout Sald
Aloo Chat,Aloo Chat
Coleslaw,Coleslaw
Papad,Papad
