value,variants
Amazon Yodhulu,Amazon Yodhulu
Red Eye,Red Eye
Rythu,Rythu
Man Down,Man Down
Bitter Harvest,Bitter Harvest
Kadamban,Kadamban
Bairavaa,Bairavaa
God Particle,God Particle
Billy Lynn`s Long Halftime Walk (3D),Billy Lynn`s Long Halftime Walk (3D)
Bloodrunners,Bloodrunners
Beta,Beta
Trolls (English)(3D),Trolls (English)(3D)
Doctor Strange (3D),Doctor Strange (3D)
Doctor Strange (3D Hindi),Doctor Strange (3D Hindi)
Doctor Strange (Hindi),Doctor Strange (Hindi)
Lavari,Lavari
Team 5,Team 5
Passport,Passport
Gifted,Gifted
Doctor Strange (3D) (4DX) (U/A),Doctor Strange (3D) (4DX) (U/A)
Akeera,Akeera
Balapam Patti Bhama Odilo,Balapam Patti Bhama Odilo
God Say,God Say
Kuheli,Kuheli
City of Dead Men,City of Dead Men
Run the Tide,Run the Tide
Janatha Garage (U/A),Janatha Garage (U/A)
Toilet - Ek Prem Katha,Toilet - Ek Prem Katha
Dongri Ka Raja,Dongri Ka Raja
Chaar Sahibzaade - Rise Of Banda Singh Bahadur (U),Chaar Sahibzaade - Rise Of Banda Singh Bahadur (U)
Masaan (A),Masaan (A)
Aligarh (A),Aligarh (A)
Raagdesh,Raagdesh
Trumbo (U/A),Trumbo (U/A)
Where To Invade Next,Where To Invade Next
Jimmy`s Hall,Jimmy`s Hall
Wild Tales,Wild Tales
Mountains May Depart,Mountains May Depart
Wilson,Wilson
Celluloid Man (English) (U),Celluloid Man (English) (U)
Killa (U/A),Killa (U/A)
Court (U/A),Court (U/A)
Sairat (U),Sairat (U)
Dhyanimani,Dhyanimani
Colkatay Columbus (U/A),Colkatay Columbus (U/A)
Padatik,Padatik
Dheepan,Dheepan
October 1917: Ten Days That Shook The World,October 1917: Ten Days That Shook The World
Walesa: Man of Hope,Walesa: Man of Hope
Taste Of Cherry,Taste Of Cherry
To Kill a Mockingbird,To Kill a Mockingbird
Lavender,Lavender
Son of Saul,Son of Saul
The Look of Silence,The Look of Silence
The Tourist (Swedish) (U/A),The Tourist (Swedish) (U/A)
Chaar Sahibzaade - Rise Of Banda Singh Bahadur (3D HIndi) (U),Chaar Sahibzaade - Rise Of Banda Singh Bahadur (3D HIndi) (U)
Kung Fu Yoga,Kung Fu Yoga
Kattappanayile Rithwik Roshan,Kattappanayile Rithwik Roshan
Chaar Sahibzaade - Rise Of Banda Singh Bahadur (Hindi) (U),Chaar Sahibzaade - Rise Of Banda Singh Bahadur (Hindi) (U)
Iddaru Iddare,Iddaru Iddare
Kaik Karne Yaar (U),Kaik Karne Yaar (U)
Leke Ishq Main Risk Sanam,Leke Ishq Main Risk Sanam
Chaar Sahibzaade (2D Punjabi) (U),Chaar Sahibzaade (2D Punjabi) (U)
Motor Mitraan Di,Motor Mitraan Di
Chocolate (A),Chocolate (A)
Hardik AbhiNandan (U/A),Hardik AbhiNandan (U/A)
Chaar Sahibzaade (3D Punjabi) (U),Chaar Sahibzaade (3D Punjabi) (U)
Pokiri Raja,Pokiri Raja
Aamey Atadaitey,Aamey Atadaitey
Tower House,Tower House
Aatadukundam Raa (U/A),Aatadukundam Raa (U/A)
Badmaash,Badmaash
Howl (Telugu) (A),Howl (Telugu) (A)
Best F(R)Iends,Best F(R)Iends
Janis,Janis
Fugay,Fugay
Sniff,Sniff
Train To Busan (Telugu) (A),Train To Busan (Telugu) (A)
Sarbagunakar Srimanta Sankardeva (U),Sarbagunakar Srimanta Sankardeva (U)
A Star Is Born,A Star Is Born
Sathuranga Vettai 2,Sathuranga Vettai 2
100 Streets,100 Streets
Kanamachhi Bho Bho (U),Kanamachhi Bho Bho (U)
Kaalagandi,Kaalagandi
