value,variants
Malda,Malda |
North Lakhimpur,Lakhimpur |North Lakhimpur
Rajula,Rajula |
Visnagar,Visnagar |
Mavoor,Mavoor |
Mattannur,Mattannur |
Sironj,Sironj |
Phulera,Phulera |
Nagaon,Nagaon |
Ramanathapuram,Ramanathapuram |
Murliganj,Murliganj |
Shillong,Shillong |
Pen,Pen |
Barmer,Barmer |
Raikot,Raikot |
Makrana,Makrana |
Jalpaiguri,Jalpaiguri |
Rawatsar,Rawatsar |
Makhdumpur,Makhdumpur |
Dimapur,Dimapur |
Sujanpur,Sujanpur |
Rampur,Rampur |
Rajpipla,Rajpipla |
Waghala,Waghala |
Kendrapara,Kendrapara |
Gurgaon,Gurgaon |
Purulia,Purulia |
Ludhiana,Ludhiana |
Jodhpur,Jodhpur |
Satna,Satna |
Sindhagi,Sindhagi |
Khambhat,Khambhat |
Belonia,Belonia |
Adra,Adra |
Siana,Siana |
Nashik,Nashik |
Kunnamkulam,Kunnamkulam |
Palia Kalan,Palia |Kalan |
Sirohi,Sirohi |
udaipur,udaipur |rajasthan |
Sadulshahar,Sadulshahar |
Mangalvedhe,Mangalvedhe |
Seohara,Seohara |
Polur,Polur |
Kaithal,Kaithal |
Sawantwadi,Sawantwadi |
Bhiwandi,Bhiwandi |
Pratapgarh,Pratapgarh |
Sindagi,Sindagi |
Kalimpong,Kalimpong |
Vrindavan,Vrindavan |
Kapadvanj,Kapadvanj |
Bodhan,Bodhan |
Lonar,Lonar |
Nellore,Nellore |
Fatehabad,Fatehabad |
Mihijam,Mihijam |
Godhra,Godhra |
Hansi,Hansi |
Zirakpur,Zirakpur |
Morena,Morena |
Padmanabhapuram,Padmanabhapuram |
Usilampatti,Usilampatti |
Habra,Habra |
Shikohabad,Shikohabad |
Sandila,Sandila |
Kadapa,Kadapa |
Vijayapura,Vijayapura |
Tirunelveli,Tirunelveli |
Talwara,Talwara |
Sarni,Sarni |
Prithvipur,Prithvipur |
Rehli,Rehli |
Singrauli,Singrauli |
Thanjavur,Thanjavur |
Sausar,Sausar |
Tarn Taran,Tarn |Taran |
Thodupuzha,Thodupuzha |
Aizawl,Aizawl |
Saidpur,Saidpur |
Bhilai Nagar,Bhilai |Bhilai Nagar |
